Start Time,End Time,Line Number,Description
45100.00,46370.00,1002.01,Transit to Compensation 1
46370.00,47600.00,1002.02,Compensation 1
47600.00,49310.00,1002.03,Transit to Renfrew repeat lines
49310.00,49838.10,158.00,Renfrew repeat line
49838.10,50051.90,1002.04,Renfrew turn
50051.90,50560.50,160.00,Renfrew repeat line
50560.50,50903.80,1002.05,Renfrew turn
50903.80,51444.40,1367.00,Renfrew repeat line
51444.40,51773.50,1002.06,Renfrew turn
51773.50,52294.90,1368.00,Renfrew repeat line
52294.90,52515.20,1002.07,Renfrew turn
52515.20,53079.20,1369.00,Renfrew repeat line
53079.20,53550.80,1002.08,Transit to Eastern repeat lines
53550.80,54099.40,3084.00,Eastern repeat line
54099.40,54376.80,1002.09,Eastern turn
54376.80,54910.60,3085.00,Eastern repeat line
54910.60,55142.40,1002.10,Eastern turn
55142.40,55691.00,3086.00,Eastern repeat line
55691.00,56064.40,1002.11,Eastern turn
56064.40,56597.50,320.00,Eastern repeat line - EVALUATION DATA
56597.50,56808.40,1002.12,Eastern turn - EVALUATION DATA
56808.40,57319.20,322.00,Eastern repeat line - EVALUATION DATA
57319.20,57489.00,1002.13,Transit to Eastern Free-Fly
57489.00,59946.00,1002.14,Free-Fly on Drape
59946.00,60846.00,1002.14,Eastern Free-Fly on Drape - EVALUATION DATA
60846.00,61360.00,1002.15,Transit to Renfrew Free-Fly
61360.00,63035.00,1002.16,Renfrew Free-Fly on Drape
63035.00,63935.00,1002.16,Renfrew Free-Fly on Drape - EVALUATION DATA
63935.00,65812.00,1002.17,Renfrew Free-Fly Constant Height
65812.00,66310.00,1002.18,Climb to high altitude
66310.00,66560.00,1002.19,Transit to Compensation 2
66560.00,67850.00,1002.20,Compensation 2
67850.00,68910.00,1002.21,Transit to base
