Time,Parameter Message,Line Number
50255.97,WX RADAR ON\\OFF,1003.01
50771.63,IN BOX AREA,1003.02
50806.38,POWER LINE,1003.02
50943.57,POWER LINE,1003.02
51478.22,RADIO 4 MIN AGO. CALL ON COMM 1 & COM 2,1003.02
51599.18,POWER LINE,1003.02
51680.22,POWER LINE,1003.02
51751.22,TRAAIN TRACK,1003.02
52313.19,LIGHTS BLINKING,1003.02
52473.55,LIGHTS BLINKING DONE,1003.02
52502.45,FUEL PUMPS ON,1003.02
52710.15,FLAPS 10 SET,1003.02
52789.00,FLAPS UP,1003.02
52801.90,FLAPS 10 SET,1003.02
52845.30,FLAPS UP,1003.02
52855.62,SLOW SPEED,1003.02
52886.29,FLAPS 10 SET,1003.02
52972.02,CRUISE SPEED SET FLAPS UP,1003.02
53019.76,POWER LINES,1003.02
53094.43,POWER LINES,1003.02
53162.23,AC OFF,1003.02
53183.72,AC VENTILATE,1003.02
53221.88,AC ON,1003.02
53247.12,AC OFF,1003.02
53276.13,AC VENTILATE,1003.02
53314.81,AC COOL,1003.02
53327.47,VENT FANS LOW,1003.02
53415.09,VENT FANS HIGH,1003.02
53546.43,RAIL BED?,1003.02
53571.45,SLOW FLYING FLAPS 10 SET,1003.02
53617.75,POWER LINES -20 SECS,1003.02
53694.19,FAST CRUISE SET FLAPS UP,1003.02
53724.85,POWER LINES,1003.02
53740.61,RADAR ON,1003.02
53833.48,RADAR OFF,1003.02
53859.12,FUEL PUMPS OFF,1003.02
53904.28,FUEL PUMPS BOTH ON,1003.02
53964.02,FUEL PUMP OFF,1003.02
53983.30,RADAR ON,1003.02
54029.08,FUEL PUMPS ON,1003.02
54059.43,RADAR OFF,1003.02
54134.80,CABIN FUEL PUMP 2 OFF 1 ON,1003.02
54156.64,RADIO CALL,1003.02
54191.02,SATPHONE CALL,1003.02
54316.52,SATPHONE CALL COMPLETE,1003.02
54346.34,POWER LINES,1003.02
54421.53,POWER LINES,1003.02
54537.99,CLIMB TO 800M,1003.03
54644.55,ESTABLISHED AT 800M,1003.04
54720.53,VISUAL BELOW CLOUD BELOW DRAPE,1003.04
54917.49,POWER LINES,1003.04
54940.59,BLINKING LIGHTS,1003.04
55087.75,SURVEY CONFIG,1003.04
55097.88,RADAR ON,1003.04
55194.06,RADAR OFF,1003.04
55345.18,AC OFF VENT FANS LOW,1003.04
55414.64,AC VENTILATE FANS LOW,1003.04
55554.88,AC COOL VENTS HIGH,1003.04
55638.67,POWER LINES,1003.04
55694.71,POWER LINES,1003.04
55853.15,FLAPS 10,1003.04
55868.44,FLAPS UP,1003.04
56171.95,WX RADAR ON,1003.04
56193.34,SLOW SPEED,1003.04
56206.55,LAP 10,1003.04
56263.06,FLAPS UP,1003.04
56267.19,FASTER,1003.04
56315.76,WX RADAR STBY,1003.04
56324.30,POWER LINE,1003.04
56400.99,CLOUDS,1003.04
56491.02,RADIO,1003.04
56520.08,ADF OFF,1003.04
56712.12,ADF NO,1003.04
56718.28,CABIN PUMP OFF,1003.04
56761.12,RADIO COM 1,1003.04
