Line Number,time,event
1007.02,48729.2447,Wiggles
1007.02,48944.3082,Pump 1 on
1007.02,49137.9085,ac off
1007.02,49162.3938,Wiggles
1007.02,49208.0554,ac on
1007.02,50066.925,Wiggles
1007.02,50277.0903,Flaps 1
1007.02,50329.8143,Flaps up
1007.02,50717.973,Wiggles
1007.02,51084.8161,Flaps 1
1007.02,51141.5637,Flap up
1007.02,51734.9333,ac off
1007.02,51745.333,ac on
1007.02,51786.5351,Back fan on
1007.02,51811.168,Back fan off
1007.02,51852.537,End of fig 8
1007.03,52012.8991,pump off
1007.04,52541.0668,Wiggles
1007.04,53067.8992,Wiggles
1007.04,53278.2428,pump on
1007.04,53718.5888,Wiggles
1007.04,53786.4674,Lights on
1007.04,53873.2746,Lights off
1007.04,54119.3684,ac off
1007.04,54143.4356,ac on
1007.04,54311.7558,Fan on
1007.04,54350.697,Fan off
1007.04,54726.0431,Flaps
1007.04,55110.6698,Wiggles
1007.04,55275.8527,Back fan on
1007.04,55668.3188,Fan off
1007.04,55685.2624,Wiggles
1007.04,55985.0588,Lights on
1007.04,56120.0468,Lights off
1007.04,56233.9304,Pump off
1007.04,56708.1394,Back fan off
1007.04,56958.7239,All lights on
1007.04,57176.6061,All lights off
1007.06,57898.2987,Electric fan on
1007.06,58017.3793,Electric fan off
1007.06,58097.5996,Wiggles
1007.06,58518.7104,Flaps
1007.06,59014.5497,Wiggles
1007.06,59160.4632,Back fan on
1007.06,59632.0264,Fan off
1007.06,59958.0953,Back fan on
1007.06,60063.2178,Back fan off
1007.06,60170.7761,Power dam
1007.06,60624.7043,Wiggles
1007.06,61062.1983,Flaps
1007.06,61224.097,Wiggles
1007.06,61393.0438,Flaps
1007.06,62254.7581,Flaps
1007.06,62394.7353,Flaps
1007.06,62458.76,Lights on
1007.06,62635.3777,Lights off
1007.06,62647.8206,Wx radar on
1007.06,62733.3828,Wx radar off
1007.06,62839.2604,Flaps
