Start Time,End Time,Line Number,Description
49820.00,50713.00,1003.01,Takeoff - Eastern Free Fly
50713.00,54497.00,1003.02,Eastern Free Fly 400m
54497.00,54639.00,1003.03,Climb to 800m
54639.00,59475.00,1003.04,Eastern Free Fly 800m
59475.00,59926.00,1003.05,Transit at 800m
59926.00,60105.00,1003.06,Descend to 400m
60105.00,60243.00,1003.07,Transit to Renfrew Free-Fly
60243.00,64586.00,1003.08,Renfrew Free Fly 400m
64586.00,64763.00,1003.09,Climb to 800m
64763.00,69252.00,1003.10,Renfrew Free Fly 800m - EVALUATION DATA
69252.00,70311.00,1003.11,Transit to base
